data1,,,
37,68,21,59
18,72,29,52
70,76,56,70
85,77,32,37
46,60,47,24
29,61,36,61
83,68,30,39
61,75,43,71
50,53,46,33
15,18,41,30
27,15,35,34
22,16,40,24
29,75,23,65
21,20,43,14
90,69,29,39
64,76,43,67
20,31,48,30
19,22,40,37
51,49,38,33
36,61,33,56
53,54,38,30
53,48,33,21
77,73,24,39
72,67,36,32
59,89,53,65
46,92,67,67
55,49,26,26
28,70,20,49
63,85,64,64
89,73,25,44
50,48,44,30
35,84,15,62
63,76,46,73
38,49,40,30
73,73,48,74
87,69,28,46
24,21,40,18
77,79,33,40
18,12,36,37
58,83,50,71
22,81,38,61
56,82,53,67
39,74,28,61
42,60,38,36
78,64,21,43
57,36,38,27
10,24,38,28
62,73,48,71
27,70,29,59
30,62,35,62
