data2,,,
39,52,36,30
38,82,19,64
16,25,43,29
42,46,42,24
59,54,38,40
34,78,29,56
22,70,39,57
57,56,36,33
26,84,31,64
38,68,46,59
23,78,31,61
28,75,25,55
82,72,27,38
42,58,46,30
69,74,54,65
31,67,37,61
67,80,47,73
60,79,51,67
22,67,21,67
55,84,56,73
83,69,27,35
49,48,36,27
36,77,32,54
33,18,41,27
72,76,48,72
68,82,52,64
61,75,48,70
70,72,31,42
80,68,25,41
56,52,42,28
26,22,46,25
12,24,39,30
83,71,28,40
92,72,28,34
67,70,42,66
25,71,31,49
19,16,32,32
20,18,42,42
54,43,43,32
61,95,58,72
17,23,42,26
22,15,39,36
52,74,55,73
23,62,26,55
60,32,41,31
61,82,43,67
82,68,34,35
78,72,26,33
17,19,43,30
62,53,40,26
